genomeNo	speciesGenomeNo	taxonomy	lineage	biorank	D_name	catalogueGroup	catalogueName	quality	completeness	contamination	size	gc	contig	type	OTU	OTU_status	projectNo	sampleNo	runNo	tier	nDegKos	degKos	nDepolymeraseLoci	depolymeraseLoci	synthKos
GCMeta_00052379	GCMeta_00052379	s__Achromobacter dolens	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter dolens	species	Bacteria	Large Livestock	Cattle Gut	High-quality	98.36	0.915	6134757	67.53	523	gcMeta	gcMeta_totalOTUv1.0_032008	member	PRJNA723218	SAMN18809115	SRR14517530	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00061651	GCMeta_00061651	s__PUIC01 sp017418605	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__PUIC01;s__PUIC01 sp017418605	species	Bacteria	Large Livestock	Goat Gut	Medium-quality	96.83	1.309	3837986	69.98	650	gcMeta	gcMeta_totalOTUv1.0_029402	member	PRJNA657455	SAMN15829906	SRR12529050	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00066027	GCMeta_00066027	s__Sphingomonas sp003355005	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp003355005	species	Bacteria	Large Livestock	Goat Gut	Medium-quality	64.76	0.328	2604557	67.66	1116	gcMeta	gcMeta_totalOTUv1.0_031644	representative	PRJNA933244	SAMN33230182	SRR23387597	1	2	K00019;K05973	1	1xK05973	
GCMeta_00066842	GCMeta_00066842	s__Phyllobacterium calauticae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Phyllobacterium;s__Phyllobacterium calauticae	species	Bacteria	Large Livestock	Goat Gut	Medium-quality	99.78	0.217	5419243	59.3	64	gcMeta	gcMeta_totalOTUv1.0_030493	member	PRJNA933244	SAMN33230181	SRR23387598	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00069411	GCMeta_00069411	g__Ottowia	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__	genus	Bacteria	Large Livestock	Goat Gut	Medium-quality	94.98	0.642	2884716	66.4	358	gcMeta	gcMeta_totalOTUv1.0_050009	representative	PRJNA741606	SAMN19883344	SRR15023611	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00069951	GCMeta_00069951	s__Achromobacter dolens	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter dolens	species	Bacteria	Large Livestock	Goat Gut	Medium-quality	99.53	0.467	6295787	67.66	184	gcMeta	gcMeta_totalOTUv1.0_032008	representative	PRJNA657455	SAMN15829904	SRR12529053	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00070116	GCMeta_00070116	s__Sphingomonas paucimobilis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas paucimobilis	species	Bacteria	Large Livestock	Goat Gut	Medium-quality	99.09	0.223	3853118	65.75	243	gcMeta	gcMeta_totalOTUv1.0_031629	representative	PRJNA657455	SAMN15829933	SRR12529389	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00080044	GCMeta_00080044	s__Pusillimonas_A sp012744285	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pusillimonas_A;s__Pusillimonas_A sp012744285	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	68.18	7.126	1806337	57.55	1041	gcMeta	gcMeta_totalOTUv1.0_032581	representative	PRJNA646934	SAMN16402097	SRR12799831	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00080482	GCMeta_00080482	s__Comamonas sp015478895	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas sp015478895	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	57.34	9.160	2021938	57.16	375	gcMeta	gcMeta_totalOTUv1.0_032139	representative	PRJNA672868	SAMN16580180	SRR12960525	1	2	K00019;K05973	2	2xK05973	K00023;K00626;K03821
GCMeta_00080576	GCMeta_00080576	s__Stenotrophomonas koreensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Stenotrophomonas;s__Stenotrophomonas koreensis	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	59.48	0.0	2502845	67.1	470	gcMeta	gcMeta_totalOTUv1.0_035945	member	PRJEB62878	SAMEA113579183	ERR11535059	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00081779	GCMeta_00081779	s__Comamonas denitrificans_A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	94.09	1.083	2692172	60.76	113	gcMeta	gcMeta_totalOTUv1.0_032132	member	PRJNA672868	SAMN16580182	SRR12960523	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00081969	GCMeta_00081969	s__Wagnerdoeblera intermedia	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Wagnerdoeblera;s__Wagnerdoeblera intermedia	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	96.28	0.568	3498958	63.62	208	gcMeta	gcMeta_totalOTUv1.0_031030	representative	PRJNA646934	SAMN16402097	SRR12799831	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00082174	GCMeta_00082174	s__Oligella ureolytica	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Oligella;s__Oligella ureolytica	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	63.32	2.219	1254381	45.31	642	gcMeta	gcMeta_totalOTUv1.0_032411	member	PRJNA991276	SAMN36291278	SRR25161323	1	2	K00019;K05973	1	1xK05973	K00626
GCMeta_00082514	GCMeta_00082514	g__Paenalcaligenes	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paenalcaligenes;s__	genus	Bacteria	Large Livestock	Pig Gut	Medium-quality	98.10	0.947	2590108	48.85	15	gcMeta	gcMeta_totalOTUv1.0_053698	representative	PRJNA526405	SAMN11097950	SRR8960714	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00083415	GCMeta_00083415	s__Advenella_A alkanexedens	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Advenella_A;s__Advenella_A alkanexedens	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	52.69	0.184	1392736	50.45	277	gcMeta	gcMeta_totalOTUv1.0_032027	member	PRJNA646934	SAMN16402097	SRR12799831	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00084705	GCMeta_00084705	s__Pelistega suis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelistega;s__Pelistega suis	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	97.74	0.0	2145455	41.71	83	gcMeta	gcMeta_totalOTUv1.0_032470	representative	PRJNA779106	SAMN23012222	SRR16894929	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00084740	GCMeta_00084740	s__Comamonas sp018384835	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas sp018384835	species	Bacteria	Large Livestock	Pig Gut	Medium-quality	78.76	1.687	2177980	58.72	278	gcMeta	gcMeta_totalOTUv1.0_032140	representative	PRJNA672868	SAMN16580181	SRR12960524	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00100022	GCMeta_00100022	g__Croceibacterium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Croceibacterium;s__	genus	Bacteria	Poultry	Chicken Gut	Medium-quality	99.14	0.29	2994474	64.76	12	IMG/M	gcMeta_totalOTUv1.0_055755	representative	PRJNA406188	SAMN07632622	SRR6474845	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00100164	GCMeta_00100164	g__Paenalcaligenes	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paenalcaligenes;s__	genus	Bacteria	Poultry	Chicken Gut	Medium-quality	77.84	1.65	1982128	47.22	271	SPIRE	gcMeta_totalOTUv1.0_055761	representative	PRJEB22062	SAMEA104467488	ERR2241985	1	2	K00019;K05973	1	1xK05973	K00626
GCMeta_00100348	GCMeta_00100348	g__Pseudoxanthomonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Pseudoxanthomonas;s__	genus	Bacteria	Poultry	Chicken Gut	Medium-quality	99.97	0.06	3354928	70.95	17	SPIRE	gcMeta_totalOTUv1.0_055769	representative	PRJNA406187	SAMN07632621	SRR6474838	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00100638	GCMeta_00100638	s__Sphingomonas excrementigallinarum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas excrementigallinarum	species	Bacteria	Poultry	Chicken Gut	Medium-quality	98.10847889	2.088412157	3653337	66.49	199	Mgnify	gcMeta_totalOTUv1.0_031621	representative	PRJNA417359	SAMN08010222	SRR6323187	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00100640	GCMeta_00100640	g__Sphingomonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	genus	Bacteria	Poultry	Chicken Gut	Medium-quality	100	2.57	5035416	65.76	9	SPIRE	gcMeta_totalOTUv1.0_055783	representative	PRJNA406188	SAMN07632622	SRR6474845	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00100983	GCMeta_00100983	s__Pseudomonas_E lactis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__Pseudomonas_E lactis	species	Bacteria	Poultry	Chicken Gut	Medium-quality	95.48476912	1.902997365	6343981	60.05	501	Mgnify	gcMeta_totalOTUv1.0_035216	member	PRJNA417359	SAMN08009938	SRR6323092	1	2	K01907;K22250	1	1xK22250	K00626;K03821
GCMeta_00101094	GCMeta_00101094	s__Alcaligenes faecalis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Alcaligenes;s__Alcaligenes faecalis	species	Bacteria	Poultry	Chicken Gut	Medium-quality	96.05055292	1.066350711	3752786	56.94	249	Mgnify	gcMeta_totalOTUv1.0_032029	member	PRJEB22062	SAMEA104467485	ERR2241982	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00101132	GCMeta_00101132	s__Brevundimonas sp002386585	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas sp002386585	species	Bacteria	Poultry	Chicken Gut	Medium-quality	100	0.39	3332585	67.61	21	IMG/M	gcMeta_totalOTUv1.0_029349	representative	PRJNA406189	SAMN07632623	SRR6476314	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00101140	GCMeta_00101140	s__Methylobacterium populi_B	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Methylobacterium;s__Methylobacterium populi_B	species	Bacteria	Poultry	Chicken Gut	Medium-quality	99.37304075	0.156739812	4698473	68.66	69	Mgnify	gcMeta_totalOTUv1.0_030323	representative	PRJNA417359	SAMN08010234	SRR6323348	1	2	K00019;K05973	3	3xK05973	K00023;K00626;K03821
GCMeta_00101243	GCMeta_00101243	g__Novosphingobium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__	genus	Bacteria	Poultry	Chicken Gut	Medium-quality	99.67	5.5	5616784	64.72	378	SPIRE	gcMeta_totalOTUv1.0_055804	representative	PRJNA406190	SAMN07632624	SRR6474865	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00101347	GCMeta_00101347	s__Sphingobium yanoikuyae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingobium;s__Sphingobium yanoikuyae	species	Bacteria	Poultry	Chicken Gut	Medium-quality	98.31	0.34	4426996	64.84	29	IMG/M	gcMeta_totalOTUv1.0_031613	representative	PRJNA406190	SAMN07632624	SRR6474865	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00101362	GCMeta_00101362	s__Paenalcaligenes hominis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paenalcaligenes;s__Paenalcaligenes hominis	species	Bacteria	Poultry	Chicken Gut	Medium-quality	93.60189573	1.421800948	2335148	48.46	118	Mgnify	gcMeta_totalOTUv1.0_032448	representative	PRJEB22062	SAMEA104467489	ERR2241986	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00106741	GCMeta_00106741	s__Phyllobacterium calauticae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Phyllobacterium;s__Phyllobacterium calauticae	species	Bacteria	Large Livestock	Cattle Gut	Medium-quality	99.39	0.0	5496150	59.36	131	gcMeta	gcMeta_totalOTUv1.0_030493	member	PRJNA539664	SAMN11532370	SRR9008936	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120031	GCMeta_00120031	g__SCGC-AG-212-J23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	62.52	3.27	2675455	67.82	581	SPIRE	gcMeta_totalOTUv1.0_056234	representative	PRJNA539711	SAMN11533337	SRR9032199	1	2	K01907;K05973	1	1xK05973	K00023;K00626
GCMeta_00120035	GCMeta_00120035	g__BOG-931	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	52.67	2.18	3024693	63.59	546	IMG/M	gcMeta_totalOTUv1.0_056237	representative	PRJNA1016859	SAMN37387888	SRR26075285	1	2	K00019;K05973	2	2xK05973	K00626;K03821
GCMeta_00120046	GCMeta_00120046	f__Burkholderiaceae	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	99.52	2.56	4223517	49.68	35	IMG/M	gcMeta_totalOTUv1.0_056248	representative	PRJNA621432	SAMN14515665	SRR11672838	1	2	K00019;K05973	4	4xK05973	K00023;K00626;K03821
GCMeta_00120088	GCMeta_00120088	g__VAZQ01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__VAZQ01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	52.73	9.48	3861920	66.38	850	IMG/M	gcMeta_totalOTUv1.0_056286	representative	PRJNA1016859	SAMN37387888	SRR26075285	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120095	GCMeta_00120095	g__Sphingomicrobium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	90.12	4.03	2611458	62.97	236	SPIRE	gcMeta_totalOTUv1.0_056293	representative	PRJNA365538	SAMN06266421	SRR5496027	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120144	GCMeta_00120144	s__JAJKJG01 sp029266525	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__JAJKJG01;s__JAJKJG01 sp029266525	species	Bacteria	Environments	Agricultural Soil	Medium-quality	97.39	0.73	4226965	68.24	163	IMG/M	gcMeta_totalOTUv1.0_030312	representative	PRJNA741280	SAMN19865260	SRR15170210	1	2	K01907;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120148	GCMeta_00120148	f__Burkholderiaceae	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	82.34	2.16	4545280	68.23	526	IMG/M	gcMeta_totalOTUv1.0_056339	representative	PRJNA741280	SAMN19865260	SRR15170210	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120151	GCMeta_00120151	g__Phenylobacterium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	55.08	1.47	2970929	69.9	658	SPIRE	gcMeta_totalOTUv1.0_056341	representative	PRJNA365538	SAMN06266421	SRR5496027	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00120178	GCMeta_00120178	f__Fen-1088	d__Bacteria;p__Myxococcota;c__Polyangia;o__Fen-1088;f__Fen-1088;g__;s__	family	Bacteria	Environments	Agricultural Soil	Medium-quality	88.92	2.9	7170898	70.44	759	IMG/M	gcMeta_totalOTUv1.0_056367	representative	PRJNA1016817	SAMN37388401	SRR26075049	1	2	K00019;K05973	2	2xK05973	K00626
GCMeta_00120189	GCMeta_00120189	g__JAJTHJ01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JAJTHJ01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	63.03	1.08	2767717	69.06	587	SPIRE	gcMeta_totalOTUv1.0_056377	representative	PRJNA571617	SAMN12812486	SRR10389008	1	2	K00019;K05973	1	1xK05973	K00626;K03821
GCMeta_00120210	GCMeta_00120210	s__Caballeronia glathei	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Caballeronia;s__Caballeronia glathei	species	Bacteria	Environments	Agricultural Soil	Medium-quality	50	6.9	4037514	66.44	713	IMG/M	gcMeta_totalOTUv1.0_032123	representative	PRJNA502502	SAMN10350904	SRR8439258	1	2	K00019;K05973	1	1xK05973	K00626;K03821
GCMeta_00120214	GCMeta_00120214	s__Dyella kyungheensis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__Dyella kyungheensis	species	Bacteria	Environments	Agricultural Soil	Medium-quality	74.74	6.99	4092931	64.86	706	IMG/M	gcMeta_totalOTUv1.0_035847	representative	PRJNA365510	SAMN06264317	SRR5452140	1	2	K05973;K07518	1	1xK05973	K00023;K00626
GCMeta_00120215	GCMeta_00120215	s__JAJFBM01 sp020697135	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rickettsiales;f__Rickettsiaceae;g__JAJFBM01;s__JAJFBM01 sp020697135	species	Bacteria	Environments	Agricultural Soil	Medium-quality	81.87	0	1625055	32.7	82	IMG/M	gcMeta_totalOTUv1.0_031191	representative	PRJNA741279	SAMN19865261	SRR15168755	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00120219	GCMeta_00120219	g__WHTP01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__WHTP01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	60.83	2.06	3789533	64.68	623	IMG/M	gcMeta_totalOTUv1.0_056400	representative	PRJNA1017016	SAMN37388400	SRR26077926	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00120300	GCMeta_00120300	g__Reyranella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	87.27	2.33	5028352	66.11	456	IMG/M	gcMeta_totalOTUv1.0_056474	representative	PRJNA1017032	SAMN37388286	SRR26077941	1	2	K00019;K05973	2	2xK05973	K00626;K03821
GCMeta_00120311	GCMeta_00120311	g__Pseudolabrys	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Pseudolabrys;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	58.54	0.79	2229175	59.76	380	IMG/M	gcMeta_totalOTUv1.0_056484	representative	PRJNA1016826	SAMN37388143	SRR26075314	1	2	K00019;K05973	1	1xK05973	K00626
GCMeta_00120322	GCMeta_00120322	g__SCGC-AG-212-J23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	90.24	6.11	4406769	67.94	400	SPIRE	gcMeta_totalOTUv1.0_056495	representative	PRJNA365502	SAMN06266409	SRR5451719	1	2	K01907;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120371	GCMeta_00120371	g__Allosphingosinicella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	58.14	0.43	2785673	67.63	439	IMG/M	gcMeta_totalOTUv1.0_056543	representative	PRJNA1016841	SAMN37387871	SRR26074875	1	2	K00019;K05973	1	1xK05973	K00626;K03821
GCMeta_00120377	GCMeta_00120377	g__BOG-931	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__BOG-931;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	84.19	4	3487925	60.95	386	IMG/M	gcMeta_totalOTUv1.0_056548	representative	PRJNA1016849	SAMN37388100	SRR26075047	1	2	K00019;K05973	1	1xK05973	K00626
GCMeta_00120402	GCMeta_00120402	g__SCGC-AG-212-J23	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__SG8-39;g__SCGC-AG-212-J23;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	72.43	1.7	3945869	67.18	536	IMG/M	gcMeta_totalOTUv1.0_056572	representative	PRJNA1016834	SAMN37387908	SRR26074840	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120429	GCMeta_00120429	g__Sphingomonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	75.16	5.17	4062255	65.9	311	IMG/M	gcMeta_totalOTUv1.0_056595	representative	PRJNA741280	SAMN19865260	SRR15170210	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120435	GCMeta_00120435	g__Bradyrhizobium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Bradyrhizobium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	53.79	8.62	3343616	64.3	454	IMG/M	gcMeta_totalOTUv1.0_056601	representative	PRJNA741280	SAMN19865260	SRR15170210	1	2	K00019;K05973	1	1xK05973	K00626;K03821
GCMeta_00120449	GCMeta_00120449	g__WHTP01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__WHTP01;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	55.64	6.2	3580563	65.63	730	SPIRE	gcMeta_totalOTUv1.0_056614	representative	PRJNA518410	SAMN10863921	SRR8536189	1	2	K00019;K05973	1	1xK05973	K00626;K03821
GCMeta_00120474	GCMeta_00120474	g__Phenylobacterium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	93.86	2.14	3601357	69.29	272	SPIRE	gcMeta_totalOTUv1.0_056639	representative	PRJNA365501	SAMN06264335	SRR5451725	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120476	GCMeta_00120476	g__Phenylobacterium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	89.98	5.39	3250609	70.82	254	SPIRE	gcMeta_totalOTUv1.0_056641	representative	PRJNA539624	SAMN11532597	SRR9650389	1	2	K00019;K05973	1	1xK05973	K00023;K00626
GCMeta_00120527	GCMeta_00120527	g__Sphingomicrobium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	73.45	5.17	2025486	64.25	352	SPIRE	gcMeta_totalOTUv1.0_056688	representative	PRJNA571617	SAMN12812486	SRR10389008	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120529	GCMeta_00120529	g__Amaricoccus	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__	genus	Bacteria	Environments	Agricultural Soil	Medium-quality	65.22	8	2923585	72.12	645	SPIRE	gcMeta_totalOTUv1.0_056690	representative	PRJNA518410	SAMN10863921	SRR8536189	1	2	K00019;K05973	1	1xK05973	K00626
GCMeta_00120566	GCMeta_00120566	g__Reyranella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__	genus	Bacteria	Environments	Agricultural Soil	High-quality	98.47	3.83	4850401	67.68	390	SPIRE	gcMeta_totalOTUv1.0_056724	representative	PRJNA365500	SAMN06266408	SRR5451700	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
GCMeta_00120603	GCMeta_00120603	s__Pseudoduganella sp021323265	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pseudoduganella;s__Pseudoduganella sp021323265	species	Bacteria	Environments	Agricultural Soil	Medium-quality	93.31	1.01	5556562	65.47	83	IMG/M	gcMeta_totalOTUv1.0_032578	representative	PRJNA741280	SAMN19865260	SRR15170210	1	2	K00019;K05973	1	1xK05973	K00023;K00626;K03821
