ko	genomeId	locusid	contigId	sStart	eEnd	orient	gtdb_mini_taxonomy	gtdb_lineage
K05973	GCMeta_00601699	FCDNLMCA_03109	GCMeta_00601699_00327	22	1185	+	Aquabacterium	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__
K05973	GCMeta_01324250	FCEEENNA_00105	GCMeta_01324250_00003	8283	9548	-	UBA3064 sp023258775	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA3064;s__UBA3064 sp023258775
K05973	GCMeta_01270301	FCGCFPLM_00976	GCMeta_01270301_00005	120186	122090	-	Rheinheimera	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Rheinheimera;s__
K05973	GCMeta_00818609	FCGIMPPA_01525	NODE_1065_length_24035_cov_12.543578	723	1988	-	Rhodobacteraceae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__;s__
K05973	GCMeta_00540392	FCGJDPNM_02960	GCMeta_00540392_00049	6145	7479	-	Pelomonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Pelomonas;s__
K05973	GCMeta_01125767	FCHLFIPI_05089	GCMeta_01125767_00277	1914	3167	+	Thermohalobaculum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thermohalobaculum;s__
K05973	GCMeta_01098218	FCIBIINH_02485	GCMeta_01098218_00220	1892	3109	-	Stellaceae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__ATCC43930;f__Stellaceae;g__;s__
K05973	GCMeta_01330295	FCIJNPMO_04022	GCMeta_01330295_00050	18385	19689	+	Rubrivivax	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rubrivivax;s__
K05973	GCMeta_01325566	FCJDFMHB_01294	GCMeta_01325566_00059	11534	12760	+	Zwartia	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Zwartia;s__
K05973	GCMeta_00600459	FCKEOGOJ_01841	GCMeta_00600459_00042	2175	3392	+	Sphingomonas paucimobilis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas paucimobilis
K05973	GCMeta_00806564	FCKNGGAE_02823	NODE_1634_length_36138_cov_13.647008	16958	18268	+	Solirhodobacter sp021779835	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Solirhodobacter;s__Solirhodobacter sp021779835
K05973	GCMeta_00790810	FCKOHGOD_01090	NODE_177_length_56439_cov_790.236947	6149	7366	-	Marinobacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__
K05973	GCMeta_01300751	FCLBAAHL_01885	GCMeta_01300751_00179	4035	5414	+	Bauldia	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Kaistiaceae;g__Bauldia;s__
K05973	GCMeta_01251023	FCLJBANJ_02932	GCMeta_01251023_00128	1516	2862	-	Paracoccus marcusii	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Paracoccus;s__Paracoccus marcusii
K05973	GCMeta_01161565	FCNBHEGJ_02385	GCMeta_01161565_00010	30106	31773	-	GCA-2746425	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__GCA-2746425;g__GCA-2746425;s__
K05973	GCMeta_01280381	FCNCABPA_00812	GCMeta_01280381_00026	3223	4449	+	Sheuella	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Sheuella;s__
K05973	GCMeta_01226271	FCODHDPO_01302	GCMeta_01226271_00074	3370	4608	-	CAJQND01 sp905479595	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__CAJQND01;g__CAJQND01;s__CAJQND01 sp905479595
K05973	GCMeta_01302265	FCPAFIKB_00867	GCMeta_01302265_00023	13303	14520	+	Amaricoccus sp017995835	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__Amaricoccus sp017995835
K05973	GCMeta_01302265	FCPAFIKB_01040	GCMeta_01302265_00031	10437	11684	+	Amaricoccus sp017995835	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Amaricoccus;s__Amaricoccus sp017995835
K05973	GCMeta_01302459	FDBOMIDI_02225	GCMeta_01302459_00152	2567	3802	-	Sphingorhabdus_B sp023262005	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__Sphingorhabdus_B sp023262005
K05973	GCMeta_01262948	FDCHDOID_00594	GCMeta_01262948_00026	11550	12824	-	BOKV01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__BOKV01;s__
K05973	GCMeta_00601206	FDCOKMFB_03027	GCMeta_00601206_00068	1113	2696	+	Ottowia sp018060485	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Ottowia;s__Ottowia sp018060485
K05973	GCMeta_01341286	FDDALJEM_00655	GCMeta_01341286_00010	36070	37344	+	Tabrizicola_A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola_A;s__
K05973	GCMeta_01195994	FDDCLFIL_01424	GCMeta_01195994_00023	31655	32887	+	Alteraurantiacibacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteraurantiacibacter;s__
K05973	GCMeta_01147295	FDDNLPMF_01754	GCMeta_01147295_00041	14879	16132	+	Thermohalobaculum	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Thermohalobaculum;s__
K05973	GCMeta_02135021	FDEIAFEF_00921	GCMeta_02135021_00007	75793	77121	+	Rhodopseudomonas palustris_H	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Rhodopseudomonas;s__Rhodopseudomonas palustris_H
K05973	GCMeta_00180359	FDEIBCOA_02280	GCMeta_00180359_00058	19009	20229	+	Blastomonas ursincola	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Blastomonas;s__Blastomonas ursincola
K05973	GCMeta_01290770	FDEJENKP_01686	GCMeta_01290770_00321	1730	2860	-	Sphingorhabdus_B	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__
K05973	GCMeta_01214417	FDFFNCHF_01385	GCMeta_01214417_00131	2099	3310	-	Henriciella sp012960415	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Henriciella;s__Henriciella sp012960415
K05973	GCMeta_01287955	FDGCLKOC_02055	GCMeta_01287955_00133	1658	2725	-	SCMT01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__SCMT01;s__
K05973	GCMeta_00620135	FDGNIFJJ_01913	GCMeta_00620135_00017	22204	23439	-	Herbaspirillum rubrisubalbicans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum rubrisubalbicans
K05973	GCMeta_00620135	FDGNIFJJ_02197	GCMeta_00620135_00021	31446	32672	+	Herbaspirillum rubrisubalbicans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum rubrisubalbicans
K05973	GCMeta_00620135	FDGNIFJJ_04181	GCMeta_00620135_00070	9320	10480	-	Herbaspirillum rubrisubalbicans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Herbaspirillum;s__Herbaspirillum rubrisubalbicans
K05973	GCMeta_00787047	FDGNLLGM_00047	NODE_267_length_53850_cov_8.619054	46148	47473	+	Allosphingosinicella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__
K05973	GCMeta_00778920	FDILECPF_02325	k141_269433	486	1769	-	Hoeflea	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Hoeflea;s__
K05973	GCMeta_01121864	FDKAKENJ_02675	GCMeta_01121864_00111	2011	3240	-	JABMNT01 sp938074585	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Casp-alpha2;g__JABMNT01;s__JABMNT01 sp938074585
K05973	GCMeta_01262506	FDKDCBKE_02300	GCMeta_01262506_00107	4998	6293	-	Phenylobacterium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__
K05973	GCMeta_00799537	FDKOADBJ_00883	NODE_6_length_476389_cov_30.626334	464806	466107	-	Aquabacterium sp029268225	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp029268225
K05973	GCMeta_01084810	FDMAGHJP_00052	GCMeta_01084810_00001	54265	55485	+	JAJZRV01 sp021850135	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Ferrovaceae;g__JAJZRV01;s__JAJZRV01 sp021850135
K05973	GCMeta_01182074	FDMLPDLD_02195	GCMeta_01182074_00043	214	1503	-	Parasedimentitalea	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Parasedimentitalea;s__
K05973	GCMeta_00815444	FDOMLKDH_01403	NODE_25554_length_10961_cov_17.260499	6455	7732	+	Pararhodobacter sp007120685	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Pararhodobacter;s__Pararhodobacter sp007120685
K05973	GCMeta_01085644	FDOPMNEJ_01376	GCMeta_01085644_00017	63570	64820	+	Glaciecola	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Glaciecola;s__
K05973	GCMeta_01282949	FDPJMANJ_00574	GCMeta_01282949_00008	20232	21515	-	UBA954	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA954;s__
K05973	GCMeta_01144560	FDPMOIDD_00798	GCMeta_01144560_00007	12994	14349	-	Burkholderia contaminans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia contaminans
K05973	GCMeta_01144560	FDPMOIDD_02846	GCMeta_01144560_00027	49278	50759	-	Burkholderia contaminans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia contaminans
K05973	GCMeta_01144560	FDPMOIDD_07073	GCMeta_01144560_00135	2297	3514	+	Burkholderia contaminans	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia contaminans
K05973	GCMeta_00810350	FEACMCEC_00025	NODE_513_length_51136_cov_20.577886	26491	27711	+	JAJZRV01 sp021804705	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Ferrovaceae;g__JAJZRV01;s__JAJZRV01 sp021804705
K05973	GCMeta_00600782	FEAEMFIH_02934	GCMeta_00600782_00217	1307	2794	-	Cellulosimicrobium funkei	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Cellulosimicrobium;s__Cellulosimicrobium funkei
K05973	GCMeta_00781889	FEAIDKEB_00681	NODE_7083_length_26159_cov_7.674648	17556	18788	+	CAMDGX01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__CAMDGX01;s__
K05973	GCMeta_01086195	FEAJOJBP_02121	GCMeta_01086195_00123	3733	5355	+	Polaromonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__
K05973	GCMeta_00601758	FEAKLMBP_02753	GCMeta_00601758_00021	34304	35707	-	Bosea	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__Bosea;s__
K05973	GCMeta_00540735	FEBCLNJJ_01705	GCMeta_00540735_00265	1649	2863	-	UBA7672	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__UBA7672;s__
K05973	GCMeta_01183365	FEBFMOFP_02660	GCMeta_01183365_00023	29049	30338	-	Thalassospira tepidiphila	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodospirillales_A;f__Thalassospiraceae;g__Thalassospira;s__Thalassospira tepidiphila
K05973	GCMeta_01323467	FEBOJGMP_00411	GCMeta_01323467_00009	2375	3610	+	SYFN01	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__SYFN01;s__
K05973	GCMeta_01296916	FECBMHOO_02189	GCMeta_01296916_00023	40319	41851	+	JANXVY01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__JANXVY01;s__
K05973	GCMeta_00799252	FEDANEPN_00053	NODE_6_length_134646_cov_19.473717	44914	46221	-	NVQY01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__NVQY01;s__
K05973	GCMeta_01121719	FEDBOGON_02335	GCMeta_01121719_00095	745	2433	+	Roseibium aggregatum_A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Stappiaceae;g__Roseibium;s__Roseibium aggregatum_A
K05973	GCMeta_01099444	FEDEJAGP_02329	GCMeta_01099444_00031	34187	35398	+	Reyranella sp003153415	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae;g__Reyranella;s__Reyranella sp003153415
K05973	GCMeta_00791318	FEDHPFMF_00967	NODE_378_length_36700_cov_15.374840	26025	27242	-	Sphingomicrobium	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomicrobium;s__
K05973	GCMeta_01290917	FEEABLHC_01418	GCMeta_01290917_00011	55229	56836	-	Polaromonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__
K05973	GCMeta_00815296	FEEAPPCB_01700	GCMeta_00815296_00090	3486	4766	-	Roseinatronobacter sp007128135	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Roseinatronobacter;s__Roseinatronobacter sp007128135
K05973	GCMeta_01210254	FEEJJKJN_00481	GCMeta_01210254_00014	18814	20031	-	Sphingomonas paucimobilis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas paucimobilis
K05973	GCMeta_00540262	FEELFJMK_02068	GCMeta_00540262_00047	10534	11796	-	Caulobacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Caulobacter;s__
K05973	GCMeta_01163419	FEEMFHOE_01850	GCMeta_01163419_00058	19431	20648	-	Glaciecola	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Glaciecola;s__
K05973	GCMeta_01334123	FEEMNEJC_00251	GCMeta_01334123_00003	71235	72647	-	Limnohabitans_A sp021300495	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__Limnohabitans_A sp021300495
K05973	GCMeta_01333809	FEEOAIHL_00893	GCMeta_01333809_00008	45389	46843	+	CAIKVZ01 sp903838565	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAIKVZ01;s__CAIKVZ01 sp903838565
K05973	GCMeta_01307529	FEFCDMBD_01245	GCMeta_01307529_00015	6793	8139	+	Shinella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Shinella;s__
K05973	GCMeta_01339979	FEFIMLLD_01415	GCMeta_01339979_00035	9702	11069	+	Rhodoferax_C sp021737865	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax_C;s__Rhodoferax_C sp021737865
K05973	GCMeta_01291005	FEFLLOAC_00667	GCMeta_01291005_00013	3579	4883	+	Rhizobium_E	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Rhizobium_E;s__
K05973	GCMeta_01283306	FEFMJOEJ_02093	GCMeta_01283306_00032	25701	27053	+	Rhodoferax_C	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax_C;s__
K05973	GCMeta_01230625	FEGGIONA_02473	GCMeta_01230625_00009	34348	35649	-	JABJJH01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__UBA8366;f__GCA-2717185;g__JABJJH01;s__
K05973	GCMeta_01293892	FEHDJEKD_00687	GCMeta_01293892_00024	16722	17990	-	Tabrizicola_A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Tabrizicola_A;s__
K05973	GCMeta_00541164	FEHIOJFC_00135	GCMeta_00541164_00001	139022	140254	-	Sphingomonas sp002083655	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__Sphingomonas sp002083655
K05973	GCMeta_01323174	FEILNIHP_00083	GCMeta_01323174_00001	83288	84535	+	UBA4615	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__UBA4615;s__
K05973	GCMeta_01340415	FEKENFGB_02206	GCMeta_01340415_00025	53072	54328	-	Novosphingobium sp903832325	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium sp903832325
K05973	GCMeta_01131870	FEKGPABD_01058	GCMeta_01131870_00005	118694	119923	+	Alteraurantiacibacter	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Alteraurantiacibacter;s__
K05973	GCMeta_00540021	FEKHFEDK_01325	GCMeta_00540021_00045	11890	13137	+	Qipengyuania sp019745075	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Qipengyuania;s__Qipengyuania sp019745075
K05973	GCMeta_01085703	FEMCGIGI_02237	GCMeta_01085703_00226	8032	9249	+	Marinobacter	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Oleiphilaceae;g__Marinobacter;s__
K05973	GCMeta_01324290	FEMCJAOB_01015	GCMeta_01324290_00014	953	2182	-	Cypionkella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Cypionkella;s__
K05973	GCMeta_00540187	FEMDPBCP_02411	GCMeta_00540187_00011	118569	119783	+	Afipia broomeae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae
K05973	GCMeta_00540187	FEMDPBCP_03902	GCMeta_00540187_00024	49548	50873	+	Afipia broomeae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Xanthobacteraceae;g__Afipia;s__Afipia broomeae
K05973	GCMeta_00039309	FENGDCBL_02092	NODE_5_length_271547_cov_49.399817	248721	249989	+	Yoonia sp017390475	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Yoonia;s__Yoonia sp017390475
K05973	GCMeta_01265506	FEOGEIAL_00451	GCMeta_01265506_00026	1956	3410	+	Polaromonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__
K05973	GCMeta_02135575	FEOKAACH_02530	GCMeta_02135575_00004	347243	348481	+	Allosphingosinicella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Allosphingosinicella;s__
K05973	GCMeta_01330657	FEPKPKDI_01260	GCMeta_01330657_00020	31829	33109	-	CAIUPE01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae;g__CAIUPE01;s__
K05973	GCMeta_00540590	FEPPKEGH_01931	GCMeta_00540590_00004	427282	428499	-	Sphingopyxis	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__
K05973	GCMeta_00811087	FFADNDHO_00187	NODE_100_length_141684_cov_14.575066	54117	55337	+	JAKBAT01 sp021826025	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Ferrovaceae;g__JAKBAT01;s__JAKBAT01 sp021826025
K05973	GCMeta_01322930	FFANAIME_02331	GCMeta_01322930_00571	769	2049	-	Brevundimonas mediterranea_A	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Brevundimonas;s__Brevundimonas mediterranea_A
K05973	GCMeta_00540854	FFBALCOM_01751	GCMeta_00540854_00010	9922	11148	-	Hankyongella	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Hankyongella;s__
K05973	GCMeta_02134647	FFBEIKDI_01497	GCMeta_02134647_00179	4145	5362	+	CAMFLJ01	d__Bacteria;p__Actinomycetota;c__Acidimicrobiia;o__Acidimicrobiales;f__UBA8139;g__CAMFLJ01;s__
K05973	GCMeta_01220877	FFCAKDFO_00571	GCMeta_01220877_00004	67280	68557	-	LGRT01 sp016778765	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__LGRT01;s__LGRT01 sp016778765
K05973	GCMeta_01257715	FFCKNLGM_02942	GCMeta_01257715_00054	11348	12568	+	Sphingopyxis sp001830555	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis sp001830555
K05973	GCMeta_00787572	FFCPLPCF_00880	NODE_424_length_145083_cov_6.890504	92187	93479	+	Ga0077536	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Ga0077536;f__Ga0077536;g__Ga0077536;s__
K05973	GCMeta_00541230	FFDACBFF_00279	GCMeta_00541230_00005	19062	20279	+	Sphingomonas	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingomonas;s__
K05973	GCMeta_03736251	FFDILAOO_02129	GCMeta_03736251_00019	16773	17999	-	Achromobacter sp030864005	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Achromobacter;s__Achromobacter sp030864005
K05973	GCMeta_00800062	FFDNLKFM_02096	NODE_5029_length_2288_cov_31.197492	118	1506	+	Tibeticola sediminis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Tibeticola;s__Tibeticola sediminis
K05973	GCMeta_00800062	FFDNLKFM_02096	NODE_5029_length_2288_cov_31.197492	118	1506	+	Tibeticola sediminis	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Tibeticola;s__Tibeticola sediminis
K05973	GCMeta_01262229	FFDOFOJG_01844	GCMeta_01262229_00335	838	2076	-	Aestuariivirgaceae	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhizobiales;f__Aestuariivirgaceae;g__;s__
K05973	GCMeta_01330534	FFEFFHCL_01538	GCMeta_01330534_00010	13704	15035	+	Phenylobacterium deserti_C	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__Phenylobacterium;s__Phenylobacterium deserti_C
K05973	GCMeta_01163254	FFEMNBIH_00238	GCMeta_01163254_00004	20733	21977	+	VMCJ01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Bin95;f__Bin95;g__VMCJ01;s__
K05973	GCMeta_00541135	FFFPOJMG_02551	GCMeta_00541135_00070	4146	5591	-	Polaromonas	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Polaromonas;s__
K05973	GCMeta_00779111	FFGDLDLI_01357	k141_3163167	63	1325	-	JAKVBK01	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__JAKVBK01;s__
K05973	GCMeta_01261915	FFGKDDHI_01310	GCMeta_01261915_00050	4177	5508	+	Sphingorhabdus_B	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingorhabdus_B;s__
K05973	GCMeta_00542988	FFIFGHAO_02052	GCMeta_00542988_00167	2149	3645	-	Limnohabitans_A	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Limnohabitans_A;s__
K05973	GCMeta_01344544	FFJCDLKF_00510	GCMeta_01344544_00005	73157	74614	-	CAIKVZ01 sp903844215	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAIKVZ01;s__CAIKVZ01 sp903844215
K05973	GCMeta_01344544	FFJCDLKF_01596	GCMeta_01344544_00027	24559	25827	-	CAIKVZ01 sp903844215	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__CAIKVZ01;s__CAIKVZ01 sp903844215
